t,icp_pos_err_mm
41.101000,9.4017
41.126000,10.7348
41.151000,9.2344
41.176000,8.6195
41.201000,13.5019
41.226000,12.6442
41.251000,8.3936
41.276000,9.7832
41.301000,10.1459
41.326000,9.6486
41.351000,8.6059
41.376000,9.2003
41.401000,12.4378
41.426000,9.1199
41.451000,11.3783
41.476000,10.0980
41.501000,10.6019
41.526000,8.5715
41.551000,6.0000
41.576000,8.7218
41.601000,8.5978
41.626000,6.2118
41.676000,6.0218
41.701000,7.4762
41.726000,7.7527
41.751000,8.3426
41.776000,8.5582
41.801000,10.3164
41.826000,5.7397
41.851000,6.7143
41.876000,10.8719
41.901000,9.2396
41.926000,5.3796
41.951000,5.7584
41.976000,9.1177
42.026000,8.5719
42.051000,9.3469
42.076000,9.1800
42.101000,9.0368
42.126000,5.7158
42.151000,6.9365
42.176000,5.6576
42.226000,5.8028
42.251000,8.1324
42.276000,1.6817
42.301000,5.5733
42.326000,7.7306
42.351000,5.0158
42.376000,11.6734
42.401000,6.6306
42.426000,5.3564
42.451000,7.9441
42.476000,13.4861
42.501000,7.3086
42.526000,9.0969
42.551000,7.1480
42.576000,8.0213
42.601000,4.1814
42.626000,1.7769
42.651000,7.0242
42.676000,2.8033
42.701000,2.9121
42.726000,6.9821
