t,n,x_n,y_n,x_degenerate,y_degenerate
20.876,541,270,271,0,0
20.901,541,270,271,0,0
20.926,541,270,271,0,0
20.951,541,270,271,0,0
20.976,541,270,271,0,0
21.001,541,270,271,0,0
21.026,541,270,271,0,0
21.051,541,270,271,0,0
21.076,541,270,271,0,0
21.101,541,270,271,0,0
21.126,541,270,271,0,0
21.151,541,270,271,0,0
21.176,537,268,269,0,0
21.201,541,270,271,0,0
21.226,541,270,271,0,0
21.251,541,270,271,0,0
21.276,541,270,271,0,0
21.301,541,270,271,0,0
21.326,541,270,271,0,0
21.351,541,270,271,0,0
21.376,541,270,271,0,0
21.401,541,270,271,0,0
21.426,541,270,271,0,0
21.451,541,270,271,0,0
21.476,541,270,271,0,0
21.501,541,270,271,0,0
21.526,541,270,271,0,0
21.551,541,270,271,0,0
21.576,541,270,271,0,0
21.601,541,270,271,0,0
21.626,541,270,271,0,0
21.651,541,270,271,0,0
21.676,537,268,269,0,0
21.701,541,270,271,0,0
21.726,527,263,264,0,0
21.751,535,267,268,0,0
21.776,535,267,268,0,0
21.801,535,267,268,0,0
21.826,520,260,260,0,0
21.876,522,261,261,0,0
21.901,523,261,262,0,0
21.926,531,265,266,0,0
21.951,527,263,264,0,0
21.976,523,261,262,0,0
22.001,524,262,262,0,0
22.026,528,264,264,0,0
22.051,527,263,264,0,0
22.076,528,264,264,0,0
22.101,533,266,267,0,0
22.126,532,266,266,0,0
22.151,533,266,267,0,0
22.176,532,266,266,0,0
22.201,527,263,264,0,0
22.226,526,263,263,0,0
22.251,528,264,264,0,0
22.276,527,263,264,0,0
22.301,528,264,264,0,0
22.326,528,264,264,0,0
22.351,522,261,261,0,0
22.376,532,266,266,0,0
22.401,527,263,264,0,0
22.426,520,260,260,0,0
22.451,523,261,262,0,0
22.476,522,261,261,0,0
22.501,518,259,259,0,0
22.526,531,265,266,0,0
22.551,532,266,266,0,0
22.576,532,266,266,0,0
22.601,519,259,260,0,0
22.626,526,263,263,0,0
22.651,528,264,264,0,0
22.676,536,268,268,0,0
22.701,532,266,266,0,0
22.726,532,266,266,0,0
22.751,533,266,267,0,0
